zmienna (klucz);źródło;kod podgrupy;kod zmiennej;opis;dostępne poziomy;jednostka;Kobiety;Mężczyźni;Ogółem;Różnica (K - M);Proporcja (K / M);Proporcja (M / K);% kobiet;% mężczyzn
liceum;Bank Danych Lokalnych GUS;P2035;270621/270655 (uczniowie, m/k), 270638/270602 (absolwenci, m/k), 378692/378694 (uczniowie w 1 klasie, m/k);Liczba uczniów (ogółem i w 1 klasie) oraz absolwentów liceów ogólnokształcących dla młodzieży (bez szkół specjalnych), wg płci.;Powiat;osób;;;;;;;;
population_25_34;Narodowy Spis Powszechny Ludności i Mieszkań 2021 (BDL GUS);P4253;1644517/1644518 (ogółem 25-29/30-34), 1644537/1644538 (mężczyźni 25-29/30-34), 1644557/1644558 (kobiety 25-29/30-34);"Liczba ludności rezydującej w wieku 25-34 lata (suma grup 25-29 i 30-34), wg płci -- przybliżony wskaźnik migracji selektywnych młodych dorosłych. ""Ludność rezydująca"" to koncepcja BDL (subjekt P4253, ""Ludność rezydująca wg grup wieku i płci"") oparta o faktyczne miejsce zamieszkania w dniu spisu, nie o zameldowanie -- różni się od bieżącej, corocznej ewidencji ludności użytej w innych zmiennych tej mapy. Jednorazowy pomiar z NSP 2021 (stan na 31 marca 2021), nie dane roczne.";Powiat;osób;;;;;;;;
wages;"GUS, ""Rozkład wynagrodzeń w gospodarce narodowej"" (publikacja roczna)";;;Przeciętne miesięczne wynagrodzenie brutto wg płci i miejsca zamieszkania (nie miejsca pracy).;Powiat;zł;;;;;;;X;X
e8_angielski;Centralna Komisja Egzaminacyjna (CKE);;;Wynik procentowy z egzaminu ósmoklasisty z języka angielskiego, wg powiatu zamieszkania szkoły. CKE publikuje też wyniki dla francuskiego/hiszpańskiego/niemieckiego/rosyjskiego/włoskiego, pominięte na razie -- niewielka i nierówna liczba zdających w większości powiatów (przedmiot elekcyjny, zależny od oferty szkoły).;Powiat;%;;;;;;;X;X
pkd_zatrudnienie;Bank Danych Lokalnych GUS;P4283;756 kodów (12 miesięcy x 20 sekcji x 3 płcie), odkrywane na żywo -- zob. etl/fetch_pkd.py;"Liczba pracujących wg sekcji PKD (Polska Klasyfikacja Działalności) i płci, stan na wybrany miesiąc (BDL publikuje ten temat jako 12 niezależnych migawek miesięcznych, nie jedną roczną -- wybór miesiąca jest częścią pola ""Miara"" poniżej). Surowe dane sekcja po sekcji -- bez wyliczonego wskaźnika segregacji zawodowej (np. indeksu Duncana), którego formuła nie jest jeszcze ustalona. Miara ""% pracujących"" (dla danego miesiąca): liczba pracujących w danej sekcji podzielona przez ""Wszystkie sekcje"" tego samego miesiąca (dla tej samej płci) i pomnożona przez 100.";Powiat;osób;;;;;;;;
life_expectancy;Bank Danych Lokalnych GUS;P2730;101554/101555 (od urodzenia, m/k), 105836/105837 (15), 105845/105846 (30), 105854/105855 (45), 105863/105864 (60), 101563/101564 (65);"Oczekiwana liczba lat dalszego życia od danego wieku, wg płci. Dostępne tylko dla podregionów -- BDL nie publikuje tego wskaźnika dla powiatów ani gmin. Brak wartości ""ogółem"": BDL publikuje to wyłącznie osobno dla mężczyzn i kobiet, a uśrednienie dwóch oczekiwanych długości życia bez ważenia liczebnością byłoby błędne tak samo, jak przy medianie egzaminu ósmoklasisty.";Podregion;lat;;;X;;;;X;X
population_by_age;Bank Danych Lokalnych GUS;P3447;30 kodów (15 grup wieku x 2 płcie) -- zob. etl/bdl_variables.py;Liczba ludności (miasto i wieś łącznie) wg grup wieku i płci. Dwa nakładające się zestawy kategorii współistnieją w tych danych: starszy, drobniejszy podział (0-2, 3-6, 7-12, 13-15, 16-19, 20-24, 25-34, 35-44, 45-54, 55-64, 65 i więcej) i nowszy, szerszy (0-14, 15-64, 16-19, 19-24) wprowadzony od 2010 -- nie sumują się do jednej spójnej piramidy wieku, traktuj je jako niezależne kategorie.;Powiat;osób;;;;;;;;
median_age;Bank Danych Lokalnych GUS;P3814;746289 (ogółem), 746290 (mężczyźni), 746291 (kobiety);Wiek, poniżej i powyżej którego znajduje się połowa populacji (mediana), wg płci.;Powiat;lat;;;;;;;X;X
rolnictwo_pracujacy;Bank Danych Lokalnych GUS (Powszechny Spis Rolny 2020);P4081;1623387/1623386 (gosp. rolne ogółem, k/m), 1623390/1623389 (gosp. indywidualne, k/m);"Członkowie rodziny i pracujący najemni stali w gospodarstwach rolnych, wg płci. ""Gospodarstwa rolne ogółem"" obejmuje też gospodarstwa państwowe/spółdzielcze/spółek, ""gospodarstwa indywidualne"" to podzbiór -- tylko gospodarstwa prywatne. Jednorazowy Powszechny Spis Rolny 2020, nie dane roczne.";Powiat;osób;;;;;;;;
rolnictwo_kierujacy;Bank Danych Lokalnych GUS (Powszechny Spis Rolny 2020);P4077;1623159/1623152 (kierujący, k/m), 1623180/1623173 (użytkownik, k/m);"Osoby związane z gospodarstwem indywidualnym, wg płci -- ""Kierujący produkcją"" faktycznie prowadzi gospodarstwo dzień po dniu, ""Użytkownik"" to formalny posiadacz/właściciel (bywa inną osobą niż kierujący). Jednorazowy Powszechny Spis Rolny 2020.";Powiat;osób;;;;;;;;
rolnictwo_uzytkownicy;Bank Danych Lokalnych GUS (Powszechny Spis Rolny 2020);P4272;1647648 (kobiety), 1647647 (mężczyźni);Użytkownicy oraz członkowie ich rodzin pracujący w gospodarstwach indywidualnych, wg płci. Jednorazowy Powszechny Spis Rolny 2020.;Powiat;osób;;;;;;;;
szkoly_policealne;Bank Danych Lokalnych GUS;P2178;~35 kodów (5 typów szkół x do 3 miar x 2 płcie) -- zob. etl/bdl_variables.py;Uczniowie (ogółem i w 1 klasie) oraz absolwenci szkół policealnych, wg typu szkoły i płci. Nie każdy typ szkoły ma dane dla wszystkich trzech miar -- brakujące kombinacje pokazują brak danych.;Powiat;osób;;;;;;;;
zasadnicze_zawodowe;Bank Danych Lokalnych GUS;P2143;~36 kodów (6 typów szkół x do 3 miar x 2 płcie) -- zob. etl/bdl_variables.py;Uczniowie (ogółem i w 1 klasie) oraz absolwenci zasadniczych szkół zawodowych i pokrewnych, wg typu szkoły i płci. Nie każdy typ szkoły ma dane dla wszystkich trzech miar -- brakujące kombinacje pokazują brak danych.;Powiat;osób;;;;;;;;
uczelnie;Bank Danych Lokalnych GUS;P3226;377825/377823 (studenci, k/m), 377820/377824 (absolwenci, k/m);Liczba studentów i absolwentów szkół wyższych, wg płci i powiatu siedziby uczelni.;Powiat;osób;;;;;;;;
wypadki_przy_pracy;Bank Danych Lokalnych GUS;P2276;58357 (kobiety), 58355 (mężczyźni);"Liczba osób poszkodowanych w wypadkach przy pracy (ogółem), wg płci. Miara ""Na 100 000 pracujących"": liczba poszkodowanych podzielona przez liczbę pracujących ogółem w CZERWCU danego roku (zmienna ""Pracujący wg sekcji PKD"", ""Wszystkie sekcje"", miesiąc czerwiec -- wybrany jako reprezentatywna migawka w połowie roku, skoro ""Pracujący wg sekcji PKD"" jest publikowane co miesiąc) i pomnożona przez 100 000 -- dzielnik jest liczbą pracujących, nie ludności ogółem, bo to trafniejszy mianownik dla wypadków przy pracy. ""Pracujący wg sekcji PKD"" ma dane dopiero od 2024 r., więc ta miara pokaże brak danych dla wcześniejszych lat.";Powiat;osób;;;;;;;;
kluby_sportowe;Bank Danych Lokalnych GUS;P2155;59629 (kobiety), 60313 (mężczyźni);"Liczba ćwiczących w klubach sportowych (łącznie z klubami wyznaniowymi i UKS), wg płci. Miara ""Na 100 000 mieszkańców"": liczba ćwiczących podzielona przez ludność ogółem powiatu (zmienna ""Ludność wg grup wieku"", grupa ""Wszystkie grupy wieku"", ta sama płeć) i pomnożona przez 100 000.";Powiat;osób;;;;;;;;
zamachy_samobojcze;Bank Danych Lokalnych GUS;P3833;1365336/1365335 (wszystkie, k/m), 1365341/1365340 (zakończone zgonem, k/m);"Liczba osób w zamachach samobójczych, wg płci -- ogółem oraz zakończone zgonem. Miary ""Na 100 000 mieszkańców"": liczba w danej kategorii podzielona przez ludność ogółem powiatu (zmienna ""Ludność wg grup wieku"", grupa ""Wszystkie grupy wieku"", ta sama płeć) i pomnożona przez 100 000.";Powiat;osób;;;;;;;;
wyksztalcenie_nsp;Narodowy Spis Powszechny Ludności i Mieszkań 2021 (BDL GUS);P4318;20 kodów (10 poziomów wykształcenia x 2 płcie) -- zob. etl/bdl_variables.py;"Ludność rezydująca w wieku 13 lat i więcej wg poziomu wykształcenia i płci. Jednorazowy Narodowy Spis Powszechny 2021, nie dane roczne. Miara ""Odsetek"": liczba osób z danym poziomem wykształcenia podzielona przez ""Wszystkie poziomy"" (dla tej samej płci) i pomnożona przez 100.";Powiat;osób;;;;;;;;
stan_cywilny_nsp;Narodowy Spis Powszechny Ludności i Mieszkań 2021 (BDL GUS);P4288;1652569/1652563 (wszystkie, k/m), 1652570/1652564, 1652571/1652565, 1652572/1652566, 1652573/1652567, 1652574/1652568;"Ludność rezydująca w wieku 15 lat i więcej wg stanu cywilnego i płci. Jednorazowy Narodowy Spis Powszechny 2021, nie dane roczne. Miara ""Odsetek"": liczba osób w danym stanie cywilnym podzielona przez ""Wszystkie"" (dla tej samej płci) i pomnożona przez 100.";Powiat;osób;;;;;;;;
ludnosc_roczniki_nsp;Narodowy Spis Powszechny Ludności i Mieszkań 2021 (BDL GUS);P4254;1644755 (kobiety), 1644663 (mężczyźni);"Ludność rezydująca ogółem, wg płci, z tematu BDL który udostępnia też podział na pojedyncze roczniki wieku (0,1,2...) -- tu wgrany wyłącznie wariant ""ogółem"" (poza podziałem na roczniki).";Powiat;osób;;;;;;;;
gestosc_zaludnienia;Bank Danych Lokalnych GUS;P2425;60559;Liczba ludności na 1 km² powierzchni. BDL nie publikuje tego wskaźnika w podziale na płeć.;Powiat;osób/km²;X;X;;X;X;X;X;X
wynagrodzenia;Bank Danych Lokalnych GUS;P2497;64428 (przeciętne wynagrodzenie), 64429 (wzgl. średniej krajowej);"Przeciętne miesięczne wynagrodzenie brutto w powiecie. Miara ""Wzgl. średniej krajowej"" to osobna zmienna publikowana wprost przez BDL (nie liczona lokalnie): przeciętne wynagrodzenie powiatu jako odsetek średniej krajowej (Polska = 100). BDL nie publikuje tego wskaźnika w podziale na płeć (dla wynagrodzeń wg płci zob. zmienna ""Wynagrodzenia"" oparta o publikację GUS, dostępną wg płci i miejsca zamieszkania). Zastępuje poprzednie ""Dochody na 1 mieszkańca"" (gmina/powiat).";Powiat;zł;X;X;;X;X;X;X;X
bezdomnosc_mieszkancy;Bank Danych Lokalnych GUS;P1799;1609986 (kobiety), 1609987 (mężczyźni), 72323 (ogółem);"Liczba mieszkańców placówek stacjonarnej pomocy społecznej (domy pomocy społecznej, schroniska, noclegownie i inne), wg płci -- łącznie ze wszystkimi kategoriami mieszkańców, nie tylko osobami bezdomnymi (zob. osobna zmienna ""Bezdomni w placówkach opieki"" dla tej węższej kategorii). Miara ""Na 100 000 mieszkańców"": liczba mieszkańców placówek podzielona przez ludność ogółem powiatu (zmienna ""Ludność wg grup wieku"", grupa ""Wszystkie grupy wieku"", ta sama płeć) i pomnożona przez 100 000.";Powiat;osób;;;;;;;;
bezdomnosc_bezdomni;Bank Danych Lokalnych GUS;P1799;195855;"Liczba osób bezdomnych przebywających w noclegowniach, domach i schroniskach dla bezdomnych. BDL nie publikuje tego wskaźnika w podziale na płeć. Miara ""Na 100 000 mieszkańców"": liczba bezdomnych podzielona przez ludność ogółem powiatu (zmienna ""Ludność wg grup wieku"", grupa ""Wszystkie grupy wieku"") i pomnożona przez 100 000.";Powiat;osób;X;X;;X;X;X;X;X
zgwalcenia;Bank Danych Lokalnych GUS;P4601;1749162;"Liczba przestępstw zgwałcenia stwierdzonych przez policję. BDL publikuje ten wskaźnik na poziomie powiatu dopiero od 2025 r. (jednorazowy punkt danych, nie szereg czasowy) i nie w podziale na płeć. Miara ""Na 100 000 mieszkańców"": liczba zgwałceń podzielona przez ludność ogółem powiatu (zmienna ""Ludność wg grup wieku"", grupa ""Wszystkie grupy wieku"") i pomnożona przez 100 000.";Powiat;przestępstw;X;X;;X;X;X;X;X
fundusz_alimentacyjny;Bank Danych Lokalnych GUS;P4451;1728280, 1728281, 1728282, 1728293, 1728294, 1728296;"Świadczeniobiorcy i dłużnicy funduszu alimentacyjnego. BDL nie publikuje tego wskaźnika w podziale na płeć. Dane dostępne tylko od 2022 r. Sześć miar to sześć osobnych zmiennych publikowanych wprost przez BDL (nie liczonych lokalnie, w tym oba wskaźniki ""na 10 tys.""/""na 100 tys. ludności"" -- inaczej niż przy własnych miarach ""_per100k"" tej mapy, np. w zmiennej ""Wypadki przy pracy""): ""Świadczeniobiorcy na 10 tys. ludności"" i ""Świadczeniobiorcy (śr. miesięczna)"" to liczba osób pobierających świadczenia z funduszu; ""Dłużnicy na 100 tys. ludności"" to ogólna liczba dłużników alimentacyjnych; ""Dłużnicy z postępowaniem ws. uchylania się"" to węższy podzbiór -- dłużnicy, wobec których toczy się postępowanie o uznanie za uchylającego się od zobowiązań alimentacyjnych; ""% środków zwróconych przez dłużników"" to odsetek wypłaconych świadczeń odzyskanych od dłużników w drodze egzekucji; ""Suma wydatkowana z funduszu w roku"" to łączna kwota świadczeń wypłaconych w danym roku.";Powiat;osób;X;X;;X;X;X;X;X
mammografia;Baza Analiz Systemowych i Wdrożeniowych (BASiW), Ministerstwo Zdrowia;;;"Odsetek kobiet w wieku objętym populacyjnym programem profilaktyki raka piersi, które faktycznie przebadano mammografią w danym roku (""Liczba przebadanych kobiet ogółem"" / ""Roczna populacja do przebadania""). Dotyczy wyłącznie kobiet -- dostępny jest tylko widok Kobiety.";Województwo;%;;X;X;X;X;X;X;X
cytologia;Baza Analiz Systemowych i Wdrożeniowych (BASiW), Ministerstwo Zdrowia;;;"Odsetek kobiet w wieku objętym populacyjnym programem profilaktyki raka szyjki macicy, które faktycznie przebadano cytologią w danym roku (""Liczba przebadanych kobiet ogółem"" / ""Roczna populacja do przebadania""). Dotyczy wyłącznie kobiet -- dostępny jest tylko widok Kobiety.";Województwo;%;;X;X;X;X;X;X;X
